id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
51773812,45948600,100%,73%,t,0,North Clairemont,32.83493,-117.20029,Private room,2,1 private bath,1,1,420,4,4.75,f,0.42
51774278,22693829,100%,93%,t,0,Sabre Springs,32.93653,-117.06961,Private room,1,1 private bath,1,1,140,3,5,f,0.42
51775360,418599072,100%,99%,f,0,Mira Mesa,32.91084,-117.15295,Entire home/apt,10,2 baths,,6,499,2,4,t,0.2
51891259,88168913,93%,95%,t,218,Mission Bay,32.78326,-117.23353,Entire home/apt,8,2.5 baths,3,6,685,0,,t,
51891864,58276208,100%,89%,t,4,Columbia,32.71777,-117.16978,Entire home/apt,4,1 bath,1,2,150,2,5,f,0.26
51892391,68845342,100%,98%,t,3,Memorial,32.70395,-117.13508,Entire home/apt,4,1.5 baths,2,2,140,61,4.98,f,6.29
51894874,85741189,N/A,100%,f,1,East Village,32.71184,-117.15699,Entire home/apt,4,2 baths,2,2,399,1,5,t,0.15
51902205,17778491,N/A,94%,t,2,East Village,32.70919,-117.15438,Entire home/apt,2,1 bath,1,1,130,9,5,t,1.04
51902269,121916709,100%,99%,t,2,South Park,32.72075,-117.12526,Entire home/apt,6,1 bath,2,3,379,47,5,f,4.86
51903160,213212806,100%,99%,f,2,East Village,32.70925,-117.15525,Entire home/apt,4,1 bath,1,3,80,2,5,t,0.29
51903307,344091235,98%,99%,f,4,Midtown District,32.723274,-117.228271,Private room,4,1 private bath,1,2,251,53,4.75,t,5.87
51775362,418599072,100%,99%,f,0,Mira Mesa,32.9114,-117.15451,Entire home/apt,6,1 bath,2,3,270,9,5,t,0.96
51570382,226804666,100%,39%,f,3404,College Area,32.77163,-117.07475,Private room,1,Private half-bath,1,1,65,0,,f,
51785001,169409096,100%,100%,t,0,Loma Portal,32.75274,-117.22858,Entire home/apt,2,1 bath,1,1,86,3,5,f,0.58
51787331,31883339,100%,85%,f,1,Clairemont Mesa,32.82366,-117.1689,Entire home/apt,7,2 baths,4,3,375,6,4.5,f,0.64
51788951,365280463,100%,99%,f,0,Grant Hill,32.70978,-117.12388,Entire home/apt,5,1 bath,2,3,224,21,4.9,f,2.16
51790615,22693829,100%,93%,t,0,Sabre Springs,32.93679,-117.06729,Private room,1,1 private bath,1,1,100,4,5,f,0.46
51793051,157056473,100%,99%,t,1,Pacific Beach,32.80064,-117.23229,Entire home/apt,2,1 bath,1,1,120,36,4.83,f,3.71
51904994,32344591,100%,96%,f,0,Mission Bay,32.7908,-117.23414,Entire home/apt,12,2.5 baths,3,3,857,37,4.95,t,4.46
51905322,2492537,100%,100%,t,1,Midtown,32.74676,-117.14775,Entire home/apt,2,1 bath,1,1,100,22,4.95,t,2.59
51905327,140755295,100%,96%,t,0,Loma Portal,32.74078,-117.23627,Entire home/apt,10,3 baths,4,7,514,19,4.89,f,2.17
51907848,211678904,95%,99%,f,0,East Village,32.71015,-117.14781,Entire home/apt,2,1 bath,1,1,81,66,4.36,f,6.92
51910269,412501601,95%,98%,t,0,Old Town,32.74748946,-117.1881361,Entire home/apt,8,2 baths,2,5,437,32,4.81,f,3.39
51915931,418599072,100%,99%,f,0,Mira Mesa,32.91258,-117.15439,Entire home/apt,10,2 baths,,6,499,0,,t,
51923604,43529778,88%,94%,f,0,College Area,32.77025,-117.04637,Private room,2,1 shared bath,1,2,28,27,4.67,t,2.92
51928117,147702206,92%,97%,f,7,Park West,32.72762,-117.16264,Private room,2,1 private bath,1,,120,2,5,f,0.68
51929434,263534443,N/A,100%,f,52,Ocean Beach,32.75231,-117.25039,Entire home/apt,16,3 baths,4,11,1068,12,4.58,t,1.56
51929479,136792846,100%,73%,f,3,Jomacha-Lomita,32.71458,-117.03874,Private room,3,1 shared bath,1,2,63,3,3.67,t,0.35
51939364,138134580,100%,91%,t,1,Little Italy,32.72574,-117.16746,Entire home/apt,4,2 baths,2,2,160,2,5,t,0.33
51940346,24680668,N/A,80%,f,0,Bay Terrace,32.68781,-117.02915,Entire home/apt,2,1 bath,1,1,120,4,5,f,0.42
